freq,time,overtone,range_used,data_source
-5.1782262703403831E+01,1.8411830828000000E+03,fundamental_freq,x,qcmi_sample
-5.1973798963241279E+01,1.8462322194000001E+03,fundamental_freq,x,qcmi_sample
-5.1812505182810128E+01,1.8512748357000000E+03,fundamental_freq,x,qcmi_sample
-5.1891102482564747E+01,1.8563265876000000E+03,fundamental_freq,x,qcmi_sample
-5.1762486953288317E+01,1.8613667209000000E+03,fundamental_freq,x,qcmi_sample
-5.1839971923269331E+01,1.8664128075000001E+03,fundamental_freq,x,qcmi_sample
-5.1760841152630746E+01,1.8714628805000000E+03,fundamental_freq,x,qcmi_sample
-5.1825964173302047E+01,1.8765189028000000E+03,fundamental_freq,x,qcmi_sample
-5.1931994372978806E+01,1.8815527149000000E+03,fundamental_freq,x,qcmi_sample
-5.1853633693419397E+01,1.8865967267999999E+03,fundamental_freq,x,qcmi_sample
-5.1852130153216414E+01,1.8916401592000000E+03,fundamental_freq,x,qcmi_sample
-5.1746024883352227E+01,1.8966781023000001E+03,fundamental_freq,x,qcmi_sample
-5.1932785212993615E+01,1.9017127444000000E+03,fundamental_freq,x,qcmi_sample
-5.1937309542670846E+01,1.9067363593000000E+03,fundamental_freq,x,qcmi_sample
-5.1805955482646816E+01,1.9117752774999999E+03,fundamental_freq,x,qcmi_sample
-5.2043432173319161E+01,1.9168093624999999E+03,fundamental_freq,x,qcmi_sample
-5.1892801643349230E+01,1.9218569634000000E+03,fundamental_freq,x,qcmi_sample
-5.1699279462918639E+01,1.9269008246000001E+03,fundamental_freq,x,qcmi_sample
-5.1837328922934830E+01,1.9319490172999999E+03,fundamental_freq,x,qcmi_sample
-5.1893409132957458E+01,1.9369988662000001E+03,fundamental_freq,x,qcmi_sample
-5.1969678102992482E+01,1.9420418259000000E+03,fundamental_freq,x,qcmi_sample
-5.1817665543407202E+01,1.9470734797000000E+03,fundamental_freq,x,qcmi_sample
-5.1947211473248899E+01,1.9521179648000000E+03,fundamental_freq,x,qcmi_sample
-5.1845410073176026E+01,1.9571729124999999E+03,fundamental_freq,x,qcmi_sample
-5.1800491033121936E+01,1.9622251418999999E+03,fundamental_freq,x,qcmi_sample
-5.1902116483077407E+01,1.9672552152000001E+03,fundamental_freq,x,qcmi_sample
-5.1782792173326015E+01,1.9722952021999999E+03,fundamental_freq,x,qcmi_sample
-5.1980134773068130E+01,1.9773388193999999E+03,fundamental_freq,x,qcmi_sample
-5.1880257112905376E+01,1.9823824288999999E+03,fundamental_freq,x,qcmi_sample
-5.1820682623423643E+01,1.9874416681000000E+03,fundamental_freq,x,qcmi_sample
-5.1829749813303351E+01,1.9924856252000000E+03,fundamental_freq,x,qcmi_sample
-5.2008609892800450E+01,1.9975234989999999E+03,fundamental_freq,x,qcmi_sample
-1.3166656907647848E+02,8.8772408490000021E+02,3rd_freq,x,qcmi_sample
-1.3134532977640629E+02,8.9276659959999995E+02,3rd_freq,x,qcmi_sample
-1.3152955777756870E+02,8.9779882869999994E+02,3rd_freq,x,qcmi_sample
-1.3187961897626519E+02,9.0283879060000004E+02,3rd_freq,x,qcmi_sample
-1.3168895087763667E+02,9.0788876050000022E+02,3rd_freq,x,qcmi_sample
-1.3120364337600768E+02,9.1293299340000021E+02,3rd_freq,x,qcmi_sample
-1.3142171587608755E+02,9.1798290050000003E+02,3rd_freq,x,qcmi_sample
-1.3170213027670979E+02,9.2302561540000011E+02,3rd_freq,x,qcmi_sample
-1.3175154757685959E+02,9.2805779480000001E+02,3rd_freq,x,qcmi_sample
-1.3148240267671645E+02,9.3308993560000010E+02,3rd_freq,x,qcmi_sample
-1.3188255017623305E+02,9.3812358610000001E+02,3rd_freq,x,qcmi_sample
-1.3118647357635200E+02,9.4317168479999998E+02,3rd_freq,x,qcmi_sample
-1.3153959687612951E+02,9.4821627560000002E+02,3rd_freq,x,qcmi_sample
-1.3121314017660916E+02,9.5326229390000003E+02,3rd_freq,x,qcmi_sample
-1.3139781507663429E+02,9.5829711050000003E+02,3rd_freq,x,qcmi_sample
-1.3140585797652602E+02,9.6334563690000004E+02,3rd_freq,x,qcmi_sample
-1.3136015947721901E+02,9.6840455910000003E+02,3rd_freq,x,qcmi_sample
-1.3095086347684264E+02,9.7345277990000000E+02,3rd_freq,x,qcmi_sample
-1.3120525147765875E+02,9.7849297009999998E+02,3rd_freq,x,qcmi_sample
-1.3128158967755735E+02,9.8353125799999998E+02,3rd_freq,x,qcmi_sample
-1.3177606727741659E+02,9.8857980360000010E+02,3rd_freq,x,qcmi_sample
-1.3152118977718055E+02,9.9361486509999997E+02,3rd_freq,x,qcmi_sample
-1.3176129927672446E+02,9.9864985750000005E+02,3rd_freq,x,qcmi_sample
-1.3093299837596714E+02,1.0036898082000000E+03,3rd_freq,x,qcmi_sample
-1.3141837417706847E+02,1.0087298221000000E+03,3rd_freq,x,qcmi_sample
-1.3099600677751005E+02,1.0137782087000001E+03,3rd_freq,x,qcmi_sample
-1.3136461607739329E+02,1.0188282373000000E+03,3rd_freq,x,qcmi_sample
-1.3116656377725303E+02,1.0238680025000000E+03,3rd_freq,x,qcmi_sample
-1.3085775027610362E+02,1.0289062441999999E+03,3rd_freq,x,qcmi_sample
-1.3137661507725716E+02,1.0339479105000000E+03,3rd_freq,x,qcmi_sample
-1.3109366997703910E+02,1.0389921276000000E+03,3rd_freq,x,qcmi_sample
-1.3125531907752156E+02,1.0440225436999999E+03,3rd_freq,x,qcmi_sample
-1.3126444347761571E+02,1.0490720219000000E+03,3rd_freq,x,qcmi_sample
-1.3111349107697606E+02,1.0541166014000000E+03,3rd_freq,x,qcmi_sample
-1.3104892467707396E+02,1.0591626243999999E+03,3rd_freq,x,qcmi_sample
-1.3102330417744815E+02,1.0642134938000002E+03,3rd_freq,x,qcmi_sample
-1.3149099537730217E+02,1.0692497533999999E+03,3rd_freq,x,qcmi_sample
-1.3137295327708125E+02,1.0742839386999999E+03,3rd_freq,x,qcmi_sample
-1.3124677647650242E+02,1.0793332400000002E+03,3rd_freq,x,qcmi_sample
-1.3166838267631829E+02,1.0843817223999999E+03,3rd_freq,x,qcmi_sample
-1.3130858537741005E+02,1.0894214442000000E+03,3rd_freq,x,qcmi_sample
-1.3147526497766376E+02,1.0944644601000000E+03,3rd_freq,x,qcmi_sample
-1.3188415007665753E+02,1.0995152323000000E+03,3rd_freq,x,qcmi_sample
-1.3158785467594862E+02,1.1045582758000000E+03,3rd_freq,x,qcmi_sample
-1.3137825497612357E+02,1.1096182180000001E+03,3rd_freq,x,qcmi_sample
-1.3132701607607305E+02,1.1146742215000002E+03,3rd_freq,x,qcmi_sample
-1.3133766787685454E+02,1.1197295331000000E+03,3rd_freq,x,qcmi_sample
-1.3157418977655470E+02,1.1247695397000000E+03,3rd_freq,x,qcmi_sample
-1.3123327937722206E+02,1.1298167917999999E+03,3rd_freq,x,qcmi_sample
-1.3108749487623572E+02,1.1348584975000001E+03,3rd_freq,x,qcmi_sample
-1.3146398587711155E+02,1.1398926441999999E+03,3rd_freq,x,qcmi_sample
-1.3126349027641118E+02,1.1449459661000001E+03,3rd_freq,x,qcmi_sample
-1.3120617257617414E+02,1.1499774156000001E+03,3rd_freq,x,qcmi_sample
-1.3139755127765238E+02,1.1550287378999999E+03,3rd_freq,x,qcmi_sample
-1.3147332417592406E+02,1.1600672513000000E+03,3rd_freq,x,qcmi_sample
-1.3143490197695792E+02,1.1651081555999999E+03,3rd_freq,x,qcmi_sample
-1.3145969937741756E+02,1.1701529158000001E+03,3rd_freq,x,qcmi_sample
-1.3183749677613378E+02,1.1751874644000000E+03,3rd_freq,x,qcmi_sample
-1.3163672407716513E+02,1.1802371172999999E+03,3rd_freq,x,qcmi_sample
-1.3140094947628677E+02,1.1852820466000001E+03,3rd_freq,x,qcmi_sample
-1.3175961637683213E+02,1.1903309747000001E+03,3rd_freq,x,qcmi_sample
-1.3166827647760510E+02,1.1953788305000000E+03,3rd_freq,x,qcmi_sample
-1.3159391377680004E+02,1.2004108013000000E+03,3rd_freq,x,qcmi_sample
-1.3163909677602351E+02,1.2054659916000001E+03,3rd_freq,x,qcmi_sample
-1.3185606417618692E+02,1.2105223599000001E+03,3rd_freq,x,qcmi_sample
-1.3157787817716601E+02,1.2155654520000001E+03,3rd_freq,x,qcmi_sample
-1.3175285427644849E+02,1.2206096837000000E+03,3rd_freq,x,qcmi_sample
-1.3209163597598672E+02,1.2256426515999999E+03,3rd_freq,x,qcmi_sample
-1.3156974737718701E+02,1.2306989676000001E+03,3rd_freq,x,qcmi_sample
-1.3172664097696543E+02,1.2357581491000001E+03,3rd_freq,x,qcmi_sample
-1.3203521637618542E+02,1.2407956313000000E+03,3rd_freq,x,qcmi_sample
-1.3179519027657807E+02,1.2458377456999999E+03,3rd_freq,x,qcmi_sample
-1.3149742917716503E+02,1.2508789976000000E+03,3rd_freq,x,qcmi_sample
-1.3148407527618110E+02,1.2559189962000000E+03,3rd_freq,x,qcmi_sample
-1.3200127117708325E+02,1.2609692022000002E+03,3rd_freq,x,qcmi_sample
-1.3193605927750468E+02,1.2660091973000001E+03,3rd_freq,x,qcmi_sample
-1.3173626027628779E+02,1.2710434157000000E+03,3rd_freq,x,qcmi_sample
-1.3172273267619312E+02,1.2760778877000000E+03,3rd_freq,x,qcmi_sample
-1.3190513497777283E+02,1.2811079141000000E+03,3rd_freq,x,qcmi_sample
-1.3198854677751660E+02,1.2861503186000000E+03,3rd_freq,x,qcmi_sample
-1.3149450637772679E+02,1.2912039536000000E+03,3rd_freq,x,qcmi_sample
-1.3214768947660923E+02,1.2962572244000000E+03,3rd_freq,x,qcmi_sample
-1.3177686907723546E+02,1.3012873406000001E+03,3rd_freq,x,qcmi_sample
-1.3179970787651837E+02,1.3063219626000000E+03,3rd_freq,x,qcmi_sample
-1.3184066047705710E+02,1.3113644360999999E+03,3rd_freq,x,qcmi_sample
-1.3218078037723899E+02,1.3163984981999999E+03,3rd_freq,x,qcmi_sample
