Distance_(pixels),Gray_Value
856,126.6667
857,125.6667
858,127.6667
859,128.6667
860,125.6667
861,125.6667
862,128.3333
863,128.3333
864,127.6667
865,127.6667
866,125
867,126
868,127.3333
869,127.6667
870,127
871,132
872,129.3333
873,130.3333
874,129
875,131
876,128
877,125.6667
878,126
879,132
880,128.3333
881,127
882,126.6667
883,130.3333
884,127
885,127.6667
886,127.6667
887,125.3333
888,126.6667
889,123.6667
890,122.6667
891,128.3333
892,129
893,129
894,128
895,126.6667
896,126.6667
897,125.3333
898,126
899,123
900,122
901,124
902,126.6667
903,127.6667
904,127
905,123
906,126.6667
907,126.6667
908,125.6667
909,126.6667
910,127.6667
911,130.6667
912,130.6667
913,127.6667
914,128.3333
915,127.3333
916,127.3333
917,128.3333
918,127.6667
919,125.6667
920,127
921,130.6667
922,125.6667
923,126.3333
924,125
925,126
926,127
927,122
928,123.3333
929,130.6667
930,130.3333
931,128.3333
932,127.6667
933,127.3333
934,127.3333
935,129.6667
936,127.6667
937,126.6667
938,124
939,127
940,127
941,127
942,127.3333
943,130.6667
944,126
945,121
946,125
947,127
948,126
949,124
950,127.3333
951,127.3333
952,125.6667
953,128.6667
954,128.6667
955,123.6667
956,124.3333
957,122.3333
958,123
959,126
960,126.6667
961,127.6667
962,126.6667
963,123.6667
964,126.6667
965,126.3333
966,126
967,126
968,126
969,125
970,123
971,125
972,125
973,126
974,123.3333
975,126.3333
976,126
977,125
978,124.6667
979,126.3333
980,124
981,124
982,124
983,124
984,123.3333
985,127.3333
986,125
987,124.3333
988,125.6667
989,126.3333
990,125.3333
991,123.3333
992,127.3333
993,125.3333
994,124
995,125.3333
996,125.3333
997,124.3333
998,123
999,124.3333
1000,125.3333
1001,125
1002,126.6667
1003,126.3333
1004,124.3333
1005,126.3333
1006,124.3333
1007,126.3333
1008,127
1009,124.3333
1010,125
1011,124.6667
1012,126.6667
1013,126.3333
1014,124
1015,122
1016,121
1017,123.3333
1018,124.6667
1019,126.3333
1020,123
1021,117
1022,120
1023,125
1024,121
1025,123
1026,126
1027,127.3333
1028,122.3333
1029,122.3333
1030,122
1031,124
1032,123.3333
1033,124
1034,125.3333
1035,124.6667
1036,123
1037,125
1038,122.3333
1039,119.3333
1040,124
1041,127.3333
1042,123.3333
1043,123.3333
1044,124.3333
1045,123.3333
1046,122.6667
1047,122.6667
1048,122
1049,120
1050,122
1051,120.3333
1052,120
1053,122.6667
1054,123.3333
1055,128.6667
1056,124.3333
1057,122.3333
1058,123.3333
1059,118.3333
1060,120.6667
1061,120.6667
1062,119
1063,120.3333
1064,123
1065,125.6667
1066,122
1067,123.6667
1068,123.6667
1069,124.3333
1070,121.3333
1071,122.3333
1072,122
1073,128.3333
1074,122.6667
1075,118.3333
1076,120
1077,121
1078,120
1079,121.6667
1080,121
1081,119
1082,120.3333
1083,121.6667
1084,120.3333
1085,122
1086,123
1087,121
1088,118.6667
1089,119.6667
1090,120.3333
1091,122.6667
1092,119.3333
1093,119
1094,119
1095,125
1096,121
1097,120
1098,119.3333
1099,123.6667
1100,121.6667
1101,122.6667
1102,122.6667
1103,120.6667
1104,122
1105,121
1106,122.6667
1107,122.6667
1108,122
1109,120
1110,120.3333
1111,118.3333
1112,119.6667
1113,125.3333
1114,123.3333
1115,123.3333
1116,123
1117,120.3333
1118,120.6667
1119,119.6667
1120,122.3333
1121,121.3333
1122,121.3333
1123,119.3333
1124,117.6667
1125,119.6667
1126,122.6667
1127,120.6667
1128,121.3333
1129,124.3333
1130,122.6667
1131,122.6667
1132,122.3333
1133,125.3333
1134,124.6667
1135,123.3333
1136,124.3333
1137,128.3333
1138,124.6667
1139,129.6667
1140,129.6667
1141,132.6667
1142,133.3333
1143,136.3333
1144,133.3333
1145,133.3333
1146,132
1147,133.3333
1148,132.6667
1149,137.3333
1150,138.3333
1151,135.3333
1152,133.6667
1153,133
1154,136.6667
1155,137.6667
1156,136.6667
1157,135.6667
1158,133.3333
1159,130.3333
1160,129.6667
1161,134.6667
1162,134.3333
1163,133.3333
1164,132.6667
1165,135.6667
1166,130.6667
1167,132.6667
1168,135.6667
1169,135.6667
1170,134.6667
1171,134.6667
1172,135.3333
1173,130.3333
1174,133
1175,139
1176,137.3333
1177,132.3333
1178,133.3333
1179,135.3333
1180,135.6667
1181,133.6667
1182,132.6667
1183,133.6667
1184,133.3333
1185,134.3333
1186,134.3333
1187,132.3333
1188,132.6667
1189,134.6667
1190,131.6667
1191,133.6667
1192,132.6667
1193,133.6667
1194,132.3333
1195,132.3333
1196,133.6667
1197,134.6667
1198,134
1199,134
1200,133.3333
1201,134.3333
1202,134.3333
1203,132.6667
1204,133.3333
1205,134.3333
1206,133.6667
1207,131.6667
1208,133.6667
1209,133.6667
1210,134.6667
1211,131.6667
1212,133.6667
1213,134.6667
1214,134
1215,134
1216,134.6667
1217,132.6667
1218,132.3333
1219,138.3333
1220,138.3333
1221,133.3333
1222,134
1223,134
1224,132.6667
1225,131.6667
1226,132.3333
1227,134.3333
1228,129.3333
1229,133.3333
1230,134.6667
1231,134.6667
1232,133.3333
1233,132.3333
1234,134.3333
1235,134.3333
1236,134.6667
1237,135.6667
1238,133.6667
1239,131.6667
1240,131
1241,133
1242,132.6667
1243,131.6667
1244,133.6667
1245,135.6667
1246,133.6667
1247,134.6667
1248,135.6667
1249,135.3333
1250,133.3333
1251,133
1252,134.3333
1253,135.3333
1254,134.6667
1255,133.3333
1256,132.3333
1257,131.6667
1258,131.3333
1259,135.3333
1260,133.6667
1261,130.6667
1262,132.6667
1263,136.3333
1264,132.6667
1265,134
1266,132.6667
1267,132.6667
1268,132.3333
1269,131.3333
1270,130.6667
1271,132.3333
1272,133.3333
1273,130.6667
1274,131.6667
1275,133.3333
1276,133.6667
1277,132.6667
1278,132.3333
1279,130.3333
1280,131.6667
1281,132.6667
1282,132
